,Clan,Generation,Sire,Childer,Name,Link,Sire_Link
0,"['Cappadocian', 'Harbingers of Skulls']",5th,Unknown,"['Adam', 'Theophilus']",Abraham,https://whitewolf.fandom.com/wiki/Abraham,
1,Cappadocian,3rd,Irad,"['Caias', 'Japheth', 'Humuusa', 'Byzar/Mahatma', 'Lazarus', 'Augustus Giovanni']",Cappadocius,https://whitewolf.fandom.com/wiki/Cappadocius,https://whitewolf.fandom.com/wiki/Irad
2,Cappadocian,6th,Abraham,,Adam (Cappadocian),https://whitewolf.fandom.com/wiki/Adam_(Cappadocian),https://whitewolf.fandom.com/wiki/Abraham
3,Cappadocian,6th,Kyros of Antioch,"Bela Rusenko (1044)
Several",Amalia of Thrace,https://whitewolf.fandom.com/wiki/Amalia_of_Thrace,https://whitewolf.fandom.com/wiki/Kyros_of_Antioch
4,Cappadocian,5th,Lazarus,,Angelique,https://whitewolf.fandom.com/wiki/Angelique,https://whitewolf.fandom.com/wiki/Lazarus
5,Cappadocian,6th,Malenchaenos,Rudori,Apacia,https://whitewolf.fandom.com/wiki/Apacia,https://whitewolf.fandom.com/wiki/Malenchaenos
6,Cappadocian (Lamia),unknown,,,Artemisia (Lamia),https://whitewolf.fandom.com/wiki/Artemisia_(Lamia),
7,Cappadocian,7th,Lord Camden,,María Asunción,https://whitewolf.fandom.com/wiki/Mar%C3%ADa_Asunci%C3%B3n,https://whitewolf.fandom.com/wiki/Roger_de_Camden
8,Cappadocian,6th,Enheduanna,Drenis,Asushunamir,https://whitewolf.fandom.com/wiki/Asushunamir,https://whitewolf.fandom.com/wiki/Enheduanna_(VTM)
9,Cappadocian,unknown,,,Pietro Caetani,https://whitewolf.fandom.com/wiki/Pietro_Caetani,
10,Hecata (Harbingers of Ashur),"6th (formerly)
5th (after ritual)",Constancia,"['María Asunción', 'Many childer']",Roger de Camden,https://whitewolf.fandom.com/wiki/Roger_de_Camden,https://whitewolf.fandom.com/wiki/Constancia
11,Cappadocian,3rd,Irad,"['Caias', 'Japheth', 'Humuusa', 'Byzar/Mahatma', 'Lazarus', 'Augustus Giovanni']",Cappadocius,https://whitewolf.fandom.com/wiki/Cappadocius,https://whitewolf.fandom.com/wiki/Irad
12,Cappadocian,4th,Cappadocius,"['Constancia', 'Unre', 'Dionysius (599 BCE)']",Japheth,https://whitewolf.fandom.com/wiki/Japheth,https://whitewolf.fandom.com/wiki/Cappadocius
13,"['Hecata', 'Original clan unknown', 'Presumed Cappadocian']",unknown,unknown,,Capuchin,https://whitewolf.fandom.com/wiki/Capuchin,
14,Hecata (Cappadocian),5th,Japheth,"['Ambrogino Giovanni', 'Lord Camden']",Constancia,https://whitewolf.fandom.com/wiki/Constancia,https://whitewolf.fandom.com/wiki/Japheth
15,Cappadocians,5th,Japheth,,Dionysius (VTM),https://whitewolf.fandom.com/wiki/Dionysius_(VTM),https://whitewolf.fandom.com/wiki/Japheth
16,Cappadocian (Lamia),9th,,Raíz (1933),Dora,https://whitewolf.fandom.com/wiki/Dora,
17,Cappadocian,7th,Asushunamir,,Drenis,https://whitewolf.fandom.com/wiki/Drenis,https://whitewolf.fandom.com/wiki/Asushunamir
